;doc_id;relation;used;used_Felix;Anmerkung;ner;sentence;pre_sentence;post_sentence;section_name;section_index
44393;1a2599e467e855f845dcbf9282f8bdbd97b85708;Method;1;;;concatenative and parametric baseline systems;We also compare to the original Tacotron that predicts linear spectrograms and uses Griffin - Lim to synthesize audio , as well as concatenative and parametric baseline systems , both of which have been used in production at Google .;In order to better isolate the effect of using mel spectrograms as features , we compare to a WaveNet conditioned on linguistic features with similar modifications to the WaveNet architecture as introduced above .;We find that the proposed system significantly outpeforms all other TTS systems , and results in an MOS comparable to that of the ground truth audio .;Evaluation;8
51409;1ea6b2f67a3a7f044209aae0d0fd1cb14a1e9e06;Method;1;;;conditioning scheme;Figure [ reference ] ( Left ) illustrates the conditioning scheme .;The generation proceeds row by row and pixel by pixel .;Each pixel is in turn jointly determined by three values , one for each of the color channels Red , Green and Blue ( RGB ) .;Generating an Image Pixel by Pixel;3
34349;12f008bea798a05ebfa2864ec026999cb375bcd9;Method;0;;;attention - sum module;The contextual representations in GA readers , namely the embeddings of words in the document , are iteratively refined across hops until reaching a final attention - sum module kadlec2016text which maps the contextual representations in the last hop to a probability distribution over candidate answers .;Multi - hop architectures mimic the multi - step comprehension process of human readers , and have shown promising results in several recent models for text comprehension sordoni2016iterative , kumar2015ask , shen2016reasonet .;The attention mechanism has been introduced recently to model human focus , leading to significant improvement in machine translation and image captioning bahdanau2014neural , mnih2014recurrent .;Gated - Attention Reader;3
88432;3861ae2a6bdd2a759c2d901a6583e63a216bc2fc;Method;1;;;NVIDIA K80 GPUs;We trained all our networks on NVIDIA K80 GPUs with a batch containing roughly 25 , 000 source and target tokens .;Weights for word embeddings were tied to corresponding entries in the final softmax layer inan2016tying , press2016using .;;Training Details;6
41404;1713d05f9d5861cac4d5ec73151667cb03a42bfc;Method;0;;;machine translation model;The code learning model can not be jointly trained with the machine translation model as it takes far more iterations for the coding layer to converge to one - hot vectors .;As the reconstructed embeddings are not identical to the original embeddings , the model parameters other than the embedding matrix have to be retrained again .;;Code Learning with Gumbel - Softmax;4
62262;2742a33946e20dd33140b8d6e80d5fd04fced1b2;Method;0;;;reconstruction algorithms;Each of the reconstruction datasets are captured in different environments with different local geometries at varying scales and built with different reconstruction algorithms .;[ reference ] . 54 scenes are used for training and 8 scenes for testing .;;Learning From Reconstructions;4
2956;01959ef569f74c286956024866c1d107099199f7;Method;1;;?;drag - and - drop interface;Subjects used a drag - and - drop interface to create the scenes .;( right ) .;Each object could be flipped horizontally and scaled .;APPENDIX VI : ABSTRACT SCENES DATASET;24
82941;3580d8a5e7584e98d547ebfed900749d347f6714;Method;0;;;Vanilla attention mechanism;[ reference ][ reference ][ reference ] . Vanilla attention mechanism is proposed to encode the semantic relevance between the encoder states { h t } L t=1 and and the decoder state s t at time;a t is the attention vector which is widely used in many applications;The attention vector is usually represented by the weighted sum of encoder hidden states .;Description Decoder with Dual Attention;6
46353;1bb5520bbc168e54c553758a76c6d953933bd8eb;Method;1;;;Evolution;Evolution has discovered efficient feedforward pathways for recognizing certain objects in the blink of an eye .;Once trained , the CNN never changes its weights or filters during evaluation .;However , an expert ornithologist , asked to classify a bird belonging to one of two very similar species , may have to think for more than a few milliseconds before answering [ 16 , 17 ] , implying that several feedforward evaluations are performed , where each evaluation tries to elicit different information from the image .;Title;0
73750;2e942d19333651bf6012374ea9e78d6937fd33ac;Method;0;;;hard example mining algorithms;also use hard example mining algorithms to boost the performance of face detection .;In , the authors proposed an on - line hard example mining ( OHEM ) algorithm to improve the object detection performance .;;Related Work;2
47078;1bea6bbdb4aed87fff5390d42934a1d9b0a7bec4;Method;1;;;relabeling;We report both results ( with and without relabeling ) for future reference .;We attempt to relabel the entity markers based on their first occurrence in the passage and question and find that this step can make training converge faster as well bring slight gains .;All of our models are run on a single GPU ( GeForce GTX TITAN X ) , with roughly a runtime of 3 hours per epoch for CNN , and 12 hours per epoch for Daily Mail .;Training Details;9
40779;16cd50316e41cbb1d9dfeafeb524b31654cef37a;Method;1;;?;weight estimation;The weight estimation is done using an expectation - maximization algorithm based on aligning the reference words to the confusion networks , and maximizing the weighted probability of the correct word at each alignment position .;A second variant of the search procedure that can give lower error ( as measured on the devset ) estimates the best system weights for each incremental combination candidate .;To avoid overfitting , the weights for an - way combination are smoothed hierarchically , i.e. , interpolated with the weights from the - way system that preceded it .;System Combination;14
33783;12db83e66e50152e170d5009c425c925ad2e2c2a;Method;0;;;differentiable neural architectures;State - of - the - art systems for RTE so far relied heavily on engineered NLP pipelines , extensive manual creation of features , as well as various external resources and specialized subcomponents such as negation detection ( e.g. [ reference ][ reference ][ reference ][ reference ] . Despite the success of neural networks for paraphrase detection ( e.g. [ reference ][ reference ][ reference ] , end - to - end differentiable neural architectures failed to get close to acceptable performance for RTE due to the lack of large high - quality datasets .;This task is important since many natural language processing ( NLP ) problems , such as information extraction , relation extraction , text summarization or machine translation , rely on it explicitly or implicitly and could benefit from more accurate RTE systems [ reference ] .;An end - to - end differentiable solution to RTE is desirable , since it avoids specific assumptions about the underlying language .;INTRODUCTION;2
13781;07cca2bdd0dc2fee02889e17789748eba9d06ffa;Method;0;;;ML attempts;Most of the previous ML attempts possess several limitations in each of these three previously mentioned aspects .;These ML approaches could be broken down into three aspects ( or phases ) : data collection ( sample size selected , duration of study and granularity of data ) , selection of variables for inference ( or combination of variables ) , and method of inference ( the details of the learning algorithm used ) .;Accordingly , these limitations could be arranged into three categories : data collection , variable selection , and methodrelated issues .;Title;0
